Subject,Category,Subcategory,Popular,Promua,Picture,Keywords,Description
Потребности бизнеса,Печать,Печать рекламы,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,"",""
Потребности бизнеса,Техническое обслуживание,Ремонт серверов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/technicalservice.jpg,"",""
Потребности бизнеса,Бизнес услуги,It-консалтинг,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg, ,""
Потребности бизнеса,Бизнес услуги,It-аудит,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg, ,""
Ремонт и строительство,Кровельные работы,Зимний сад,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/roofing.jpg,"",""
Транспортировка,Транспортное средство,Ремонт выпускной системы,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Потребности бизнеса,Бизнес услуги,Интернет-реклама,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"",""
Потребности бизнеса,Бизнес услуги,Реклама на радио,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"",""
Потребности бизнеса,Печать,Рекламный дизайн,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,"Изготовление рекламных вывесок,изготовление рекламы,наружная реклама,вывески рекламные,рекламные вывески",""
Потребности бизнеса,Печать,Изготовление пластиковых карт,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,ПечатьНА пластиковых карт,""
Организация,Мероприятия,Тематическое оформление,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/events.jpg,Организация вечеринок,""
Ремонт и строительство,Техника для дома и помещений,Ремонт холодильного оборудования,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/homeappliances.jpg,ИЗГОТОВЛЕНИЕ ХОЛОДИЛЬНЫХ ВИТРИН,""
Ремонт и строительство,Двери и окна,Металлопластиковые окна под заказ,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"Монтаж Металлопластиковых окон,ремонт Металлопластиковых окон,установка Металлопластиковых окон",""
Уборка,Услуги уборки,Промышленный альпинизм,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/cleaning.jpg,"Мойка витрин,мойка окон на высоте,мытье вывесок,мойка фасадов",""
Уборка,Услуги уборки,Мойка фасадов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/cleaning.jpg,"Мойка витрин,мойка окон на высоте,мытье вывесок,мытье фасадов",""
Транспортировка,Транспортное средство,Ремонт топливной системы,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Транспортировка,Транспортное средство,Ремонт системы зажигания,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Ремонт и строительство,Полы и лестницы,Устройство промышленных полов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/floorstairs.jpg,"топинговые полы,полы с упрочненным верхним слоем,промышленные полы,промышленные бетонные полы,бетонные полы,ремонт бетонных полов",""
Транспортировка,Транспортное средство,Ремонт подушек безопасности,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Ремонт и строительство,Сантехника,Прочистка труб,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/plumbing.jpg,"",""
Уроки,Уроки искусства и ремесла,Курсы кулинарного искусства,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/arts.jpg,"",""
Уроки,Уроки искусства и ремесла,Курсы видеосъемки,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/arts.jpg,"",""
Уроки,Уроки иностранных языков,Уроки польского языка,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/foreignlang.jpg,"",""
Уроки,Дополнительное образование,Уроки флористики,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"школа флористики,курсы  флористики,семинар флористики",""
Потребности бизнеса,Бизнес услуги,Дизайн экстерьеров,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg, ,""
Потребности бизнеса,Бизнес услуги,Изготовление сувенирной продукции,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"",""
Транспортировка,Транспортное средство,Замена масла,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Транспортировка,Транспортное средство,Техническое обслуживание авто (то),false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Потребности бизнеса,Бизнес услуги,Ликвидация предприятий,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"Ликвидация  частного предприятия (ЧП),Ликвидация  общества с ограниченной ответственностью (ООО),Ликвидация  акционерного общества,Ликвидация  представительства иностранной компании в Украине,Ликвидация  некоммерческих организаций",""
Потребности бизнеса,Бизнес услуги,Консалтинговые услуги,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,Консалтинг,""
Потребности бизнеса,Печать,Изготовление дисков,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,"ПЕЧАТЬ НА ДИСКЕ,Тиражирования дисков,ИЗГОТОВЛЕНИЕ дисков",""
Потребности бизнеса,Печать,Печать на cd,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,"ПЕЧАТЬ НА ДИСКЕ,Тиражирования дисков,ИЗГОТОВЛЕНИЕ дисков",""
Уроки,Дополнительное образование,Курсы маникюр и педикюр,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"Курсы маникюр,Курсы педикюр",""
Уроки,Дополнительное образование,Курсы биозавивки ресниц,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"",""
Уроки,Дополнительное образование,Курсы шугаринга,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,Курсы сахарная депиляция,""
Уроки,Дополнительное образование,Курсы восковой депиляции,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"Курсы восковой депиляции,Курсы депиляции",""
Потребности бизнеса,Бизнес услуги,Поддержка сайта,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"seo Поддержка сайта ,seo продвижение сайтов",""
Потребности бизнеса,Бизнес услуги,Страхование финансовых рисков,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"Страхование имущества,Страхование бизнеса
",""
Личные потребности,Здоровья,Массаж для ног,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/health.jpg,"Массаж ступней,Массаж ног",""
Личные потребности,Услуги помощника,Свадебная флористика,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/helper.jpg,"Флористика,флорист",""
Личные потребности,Услуги помощника,Новогодняя флористика,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/helper.jpg,"Флористика,флорист",""
Личные потребности,Услуги помощника,Пасхальная флористика,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/helper.jpg,"Флористика,флорист",""
Организация,Мероприятия,Роупджампинг,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/events.jpg, ,""
Организация,Мероприятия,Прогулки на лошадях,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/events.jpg, ,""
Уроки,Услуги репетиторов,Курсы подготовки к зно,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/academic.jpg,подготовка к ЗНО,""
Уроки,Дополнительное образование,Курсы подготовки телохранителей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"",""
Уроки,Дополнительное образование,Seo продвижение сайтов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"Оптимизация сайтов,SEO,seo",""
Потребности бизнеса,Техническое обслуживание,Прошивка принтера,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/technicalservice.jpg,Прошивка чипов,""
Личные потребности,Красота,Прокол ушей,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/beauty.jpg,пирсинг,""
Ремонт и строительство,Строительство,Установка дорожных знаков,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/construction.jpg,"Установка дорожных зеркал,Установка дорожного ограждения,Установка лежачих полицейских,Нанесение дорожной разметки",""
Ремонт и строительство,Строительство,Установка светофоров,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/construction.jpg,"",""
Уроки,Дополнительное образование,Курсы программирования,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"",""
Уроки,Дополнительное образование,Курсы секретарей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"",""
Уроки,Дополнительное образование,Курсы администраторов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"",""
Уроки,Дополнительное образование,Курсы менеджеров,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"",""
Личные потребности,Здоровья,Массаж для лица,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/health.jpg,Массажи лица,""
Транспортировка,Транспортное средство,Развал - схождения,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,РЕГУЛИРОВКА РАЗВАЛ - СХОЖДЕНИЯ,""
Ремонт и строительство,Строительство,Землекопные работы,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/construction.jpg,"",""
Транспортировка,Транспортное средство,Аренда авто на свадьбу,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"",""
Личные потребности,Инспекция,Услуги экспертизы,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"",""
Личные потребности,Красота,Контурная пластика,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/beauty.jpg,"Мезотерапия,Диспорт,Коррекция морщин


",""
Ремонт и строительство,Строительство,Строительство розариев,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/construction.jpg,"",""
Потребности бизнеса,Бизнес услуги,Лицензирование,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg," ПОЛУЧЕНИЕ ЛИЦЕНЗИИ НА ПРАВО РОЗНИЧНОЙ ТОРГОВЛИ АЛКОГОЛЬНЫМИ НАПИТКАМИ,ПОЛУЧЕНИЕ ЛИЦЕНЗИИ НА ПРАВО РОЗНИЧНОЙ ТОРГОВЛИ ТАБАЧНЫМИ ИЗДЕЛИЯМИ ",""
Личные потребности,Красота,Ультразвуковая терапия,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/beauty.jpg,"",""
Личные потребности,Красота,Микротоковая терапия,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/beauty.jpg,"",""
Личные потребности,Красота,Алмазная микродермабразия,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/beauty.jpg,"",""
Организация,Мероприятия,Аренда банкетного зала,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/events.jpg,"",""
Потребности бизнеса,Техническое обслуживание,Ремонт сканера штрих-кода,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/technicalservice.jpg,Ремонт принтеров чеков,""
Личные потребности,Домашние животные,Ветеринар на дом,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/pets.jpg,"вакцинация животных,Усыпление животных",""
Личные потребности,Инспекция,Оформление в бти,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"Справка-характеристика из БТИ,Оформлению права собственности, Технический Паспорт,Архитектурная Мастерская ,Свидетельство о праве собственности,узаконить строительство,узаконить перепланировку",""
Транспортировка,Транспортное средство,Ремонт сельскохозяйственной техники,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/transport.jpg,"Ремонт спецтехники,РЕМОНТ ТРАКТОРОВ,РЕМОНТ УЗЛОВ ТРАКТОРА",""
Потребности бизнеса,Бизнес услуги,Реклама на тв,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"реклама на телевидении,размещение рекламы на тв",""
Уроки,Дополнительное образование,Курсы пользователей пк,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"КУРСЫ EXCEL,КУРСЫ ACCESS,КОМПЬЮТЕРНЫЕ КУРСЫ",""
Личные потребности,Консалтинг,Полиграф,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/consulting.jpg,"детектор лжи,проверка на полиграфе",""
Ремонт и строительство,Двери и окна,Аварийное открывание замков,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"ОТКРЫТИЕ КВАРТИР,ОТКРЫТИЕ АВТО,ОТКРЫТИЕ СЕЙФОВ",""
Ремонт и строительство,Двери и окна,Изготовление ключей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,ключи на заказ,""
Потребности бизнеса,Печать,Печать полиграфии,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg," Цифровая печать,Печать на упаковке,Фотообои печать ,Офсетная печать,Печать рекламы,Печать визиток,Дизайн визитной карточки,заказать разработку дизайна визитки,визитки онлайн,широкоформатная печать,ПЕЧАТЬ СТИКЕРОВ,ПЕЧАТЬ ЭТИКЕТОК,ПЕЧАТЬ НАКЛЕЕК,буклетов,брошур",""
Уроки,Уроки исполнительского искусства,Уроки игры на духовых,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/performancearts.jpg,"",""
Личные потребности,Инспекция,Услуги геодезиста,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"Местоположение земельного участка,Акт установления границ участка,Геодезия,Вынос в натуру,Викопировка с кадастровой карты,Уточнение границ земельного участка,Вынос осей здания в натуру,Топографа-Геодезические работы,Закрепление сети рэперов,Контрольно-исполнительная съемка,Геодезия дачного участка,Геодезия в строительстве дорог,Геодезия,геология дачного,садового участка,Создание геодезической разбивочной основы
",""
Личные потребности,Инспекция,Услуги геолога,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"Несущая способность грунтов,Геология участка,Геология для частного дома,Геологоразведочные работы,Геология в строительстве,Справка о геологическом составе грунтов,Исследование грунтов",""
Личные потребности,Ремесла,Металлообработка,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/crafts.jpg,Гравировка,""
Потребности бизнеса,Бизнес услуги,Регистрация авторских прав,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg,"",""
Организация,Фото и видео,Изготовление ценникодержателей,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/photography.jpg,"Стеллажный ценникодержатели,Настольные ценникодержатели,Полочные ценникодержатели",""
Личные потребности,Инспекция,Анализ окружающей среды,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/inspection.jpg,"Анализ воды,АНАЛИЗ ПОЧВЫ,АНАЛИЗ ВОЗДУХА,АНАЛИЗ НА ТЯЖЕЛЫЕ МЕТАЛЛЫ,АНАЛИЗ СТОЧНЫХ ВОД",""
Ремонт и строительство,Двери и окна,Ремонт металлопластиковых окон,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"Монтаж Металлопластиковых окон,ремонт Металлопластиковых окон,установка Металлопластиковых окон",""
Ремонт и строительство,Двери и окна,Установка металлопластиковых окон,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"Монтаж Металлопластиковых окон,ремонт Металлопластиковых окон,установка Металлопластиковых окон",""
Ремонт и строительство,Двери и окна,Установка защитных ролетов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"",""
Ремонт и строительство,Двери и окна,Ремонт защитных ролетов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"",""
Ремонт и строительство,Двери и окна,Установка тканевых ролетов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"",""
Ремонт и строительство,Двери и окна,Ремонт тканевых ролетов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/doorswindows.jpg,"",""
Потребности бизнеса,Печать,Изготовление внутренней рекламы,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/printing.jpg,изготовление рекламы ,""
Ремонт и строительство,Сантехника,Очистка стоков,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/plumbing.jpg,"",""
Потребности бизнеса,Бизнес услуги,Фэншуй консультация,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/business.jpg," Фэншуй консультации квартир и домов,Фэншуй консультации бизнеса,офиса,Фэншуй анализ логотипов,Фэншуй анализ визиток,Фэншуй анализ знаков",""
Уроки,Дополнительное образование,Курсы контурной пластики,true,true,https://d12gbqriwgmg5d.cloudfront.net/categories/occupation.jpg,"Инъекции красоты,Мезотерапия,Ботулинотерапия,Контурная пластика лица и шеи,обучение контурной пластике губ",""
Потребности бизнеса,Техническое обслуживание,Ремонт оргтехники,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/technicalservice.jpg,"Ремонт печатной техники,Ремонт МФУ,Ремонт факса,ЗАПРАВКА И ВОССТАНОВЛЕНИЕ HP,ЗАПРАВКА И ВОССТАНОВЛЕНИЕ CANON,ЗАПРАВКА И ВОССТАНОВЛЕНИЕ КАРТРИДЖЕЙ SAMSUNG,ЗАПРАВКА И ВОССТАНОВЛЕНИЕ КАРТРИДЖЕЙ XEROX,ЗАПРАВКА И ВОССТАНОВЛЕНИЕ ЛАЗЕРНЫХ КАРТРИДЖЕЙ BROTHER,ЗАПРАВКА КАРТРИДЖЕЙ PANASONIC,ЗАПРАВКА КАРТРИДЖЕЙ OKI,ЗАПРАВКА КАРТРИДЖЕЙ KONICA MINOLTA,ЗАПРАВКА КАРТРИДЖЕЙ LEXMARK,КАРТРИДЖА EPSON",""
Ремонт и строительство,Строительство,Установка камина под заказ,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/construction.jpg,"",""
Личные потребности,Ремесла,Пошив одежды,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/crafts.jpg,"",""
Личные потребности,Красота,Биозавивка ресниц,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/beauty.jpg,"",""
Личные потребности,Красота,Ламинирование ресниц,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/beauty.jpg,"",""
Ремонт и строительство,Электричество и освещение,Сервис дизельных генераторов,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/electrical.jpg,"Диагностика  дизельных генераторов,замена расходных материалов,обслуживание дизельных генераторов,обслуживание дизельных электростанций,ремонт бензиновые электростанции,ремонт бензиновых генераторов,ремонт бензиновых электростанций,ремонт бензогенератора,ремонт генератора,ремонт генераторов,ремонт дизель генератора,ремонт дизельные электростанции,ремонт дизельных генераторов,ремонт дизельных электростанций,сервисное обслуживание генераторов,сервисное обслуживание электростанций,техническое обслуживание электростанций",""
Уроки,Уроки спорта,Обучение теннису,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/recreational.jpg,"",""
Уроки,Уроки спорта,Обучение триатлону,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/recreational.jpg,"",""
Уроки,Уроки спорта,Уроки гімнастика,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/recreational.jpg,"",""
Уроки,Уроки спорта,Уроки вейкбординга,false,false,https://d12gbqriwgmg5d.cloudfront.net/categories/recreational.jpg,"",""
